quant_id,default_code,product_name,product_id,location_id,location,usage,lot_id,lot_name,package_id,owner_id,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,company_id
13503,PK-CAR-PS-01016,ลังยาดม PS 100โหล 31x39x58,8036,9,GMP/HOLD-V,internal,7529,UAT-PK-CAR-PS-01016-P00066,,,10000.000000,10000.000000,0.000000,-10000.000000,1
13505,PK-CAR-PS-01016,ลังยาดม PS 100โหล 31x39x58,8036,9,GMP/HOLD-V,internal,7530,UAT-PK-CAR-PS-01016-P00067,,,10000.000000,10000.000000,0.000000,-10000.000000,1
13660,SM-MTS-TW-02001,ชิ้นส่วนยาดม MarkII Taiwan ตัวบน+ตัวกลาง,8266,51,GMP/SC01/FG,internal,7538,UAT-TRPL-20260422-SM-MTS-TW-02001,,,55.000000,0.000000,0.000000,-55.000000,1
13513,PK-BAG-PS-01004,ถุง PP ใส 9x14 บรรจุ 100 หลอด,8175,8,GMP/Stock,internal,,,,,10.000000,20.000000,0.000000,-10.000000,1
13586,PK-BAG-PS-01004,ถุง PP ใส 9x14 บรรจุ 100 หลอด,8175,8,GMP/Stock,internal,7543,UAT-TRPK-20260422-PK-BAG-PS-01004,,,50.000000,50.000000,0.000000,-50.000000,1
13509,PK-CAR-PS-02001,ลังลูกฟูก 5 ชั้น 100โหล สีครีมส่งนอก 31x39x58,8078,8,GMP/Stock,internal,,,,,200.000000,800.000000,0.000000,-200.000000,1
13583,PK-CAR-PS-02001,ลังลูกฟูก 5 ชั้น 100โหล สีครีมส่งนอก 31x39x58,8078,8,GMP/Stock,internal,7540,UAT-TRPK-20260422-PK-CAR-PS-02001,,,1000.000000,1000.000000,0.000000,-1000.000000,1
13510,RM-FIL-PS-01002,ก้นกรอง,8083,8,GMP/Stock,internal,,,,,7200.000000,0.000000,0.000000,-7200.000000,1
13585,RM-HTF-TW-00001,ฉลาก HTF MarkII ไต้หวัน ตัวบน,8138,8,GMP/Stock,internal,7542,UAT-TRPK-20260422-RM-HTF-TW-00001,,,12000.000000,12000.000000,0.000000,-12000.000000,1
13584,RM-HTF-TW-00002,ฉลาก HTF MarkII ไต้หวัน ตัวล่าง,8133,8,GMP/Stock,internal,7541,UAT-TRPK-20260422-RM-HTF-TW-00002,,,12000.000000,12000.000000,0.000000,-12000.000000,1
13517,RM-MBS-BU-00001,สีผสมพลาสติก สีน้ำเงิน,8344,8,GMP/Stock,internal,,,,,0.016200,0.000000,0.000000,-0.016200,1
13519,RM-MBS-GR-00001,สีผสมพลาสติก สีเขียว,8346,8,GMP/Stock,internal,,,,,0.016200,0.000000,0.000000,-0.016200,1
13515,RM-MBS-PK-00001,สีผสมพลาสติก สีชมพูสะท้อนแสง,8342,8,GMP/Stock,internal,,,,,0.033600,0.000000,0.000000,-0.033600,1
13516,RM-MBS-PK-00002,สีผสมพลาสติก สีชมพูเข้ม,8343,8,GMP/Stock,internal,,,,,0.016200,0.000000,0.000000,-0.016200,1
13518,RM-MBS-VL-00001,สีผสมพลาสติก สีม่วง,8345,8,GMP/Stock,internal,,,,,0.016200,0.000000,0.000000,-0.016200,1
13514,RM-MBS-WH-00001,สีผสมพลาสติก สีขาว,8341,8,GMP/Stock,internal,,,,,1.437710,0.000000,0.000000,-1.437710,1
13520,RM-MBS-YL-00001,สีผสมพลาสติก สีเหลือง,8347,8,GMP/Stock,internal,,,,,0.016200,0.000000,0.000000,-0.016200,1
13521,RM-PLA-PP-00001,เม็ดพลาสติก HP648N 750KG,8363,8,GMP/Stock,internal,,,,,38.146812,0.000000,0.000000,-38.146812,1
13522,RM-PLA-PP-00002,เม็ดพลาสติก RP348N 750Kg,8364,8,GMP/Stock,internal,,,,,8.208000,0.000000,0.000000,-8.208000,1
13523,,น้ำยาสำหรับผลิต Ps Inhaler (A),8643,8,GMP/Stock,internal,,,,,5.760000,0.000000,0.000000,-5.760000,1
13524,,น้ำยาสำหรับผลิต Ps Inhaler (B),8644,8,GMP/Stock,internal,,,,,5.760000,0.000000,0.000000,-5.760000,1
13525,,น้ำยาสำหรับผลิต Ps Inhaler (C),8645,8,GMP/Stock,internal,,,,,5.760000,0.000000,0.000000,-5.760000,1
13526,,น้ำยาสำหรับผลิต Ps Inhaler (D),8646,8,GMP/Stock,internal,,,,,5.760000,0.000000,0.000000,-5.760000,1
13527,,น้ำยา Mark II Solution (A),8674,8,GMP/Stock,internal,,,,,7.920000,0.000000,0.000000,-7.920000,1
13528,,น้ำยา Mark II Solution (C),8692,8,GMP/Stock,internal,,,,,7.920000,0.000000,0.000000,-7.920000,1
13529,,น้ำยา Mark II Solution (B),8694,8,GMP/Stock,internal,,,,,7.920000,0.000000,0.000000,-7.920000,1
13530,,น้ำยา Mark II Solution (D),8697,8,GMP/Stock,internal,,,,,7.920000,0.000000,0.000000,-7.920000,1
13712,,TMP Backorder Product/20260423020047916103,9029,8,GMP/Stock,internal,,,,,10.000000,5.000000,0.000000,-10.000000,1
13713,,TMP Backorder Product/20260423020139465131,9030,8,GMP/Stock,internal,,,,,10.000000,5.000000,0.000000,-10.000000,1
